year,month,month_name,category_name,postings,hiring_companies,avg_salary_mid
2026,6,June,Other,107,75,7659
2026,6,June,Backend Development,11,9,
2026,6,June,Full Stack Development,9,8,
2026,6,June,Mobile Development,7,6,
2026,6,June,Frontend Development,5,5,
2026,6,June,Project & Product Management,4,2,
2026,6,June,QA & Testing,4,4,
2026,6,June,IT Support & Networking,2,2,
2026,6,June,UI/UX Design,2,2,13125
